id,name1,name2,season,rank,time,maxState,斬撃耐性,貫通耐性,打撃耐性,斬撃,貫通,打撃,防御,回避,反撃,M防御,M反撃,憤怒,色欲,怠惰,暴食,憂鬱,傲慢,嫉妬,火傷,出血,振動,破裂,沈潜,呼吸,充電
11001,LCB 囚人,ウーティス,恒常,1,0,4,0.5,1,2,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
11002,剣契 殺手,ウーティス,恒常,2,0,4,0.5,2,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
11003,G社 部長,ウーティス,SEASON 1,2,0,4,1,0.5,2,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
11004,南部セブン協会 6課部長,ウーティス,恒常,3,1,4,2,1,0.5,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
11005,奥歯事務所 フィクサー,ウーティス,SEASON 2 [EVENT],3,2,4,0.5,2,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
11006,南部センク協会 4課,ウーティス,恒常,2,3,4,2,0.5,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
11007,ロボトミーE.G.O:: 魔弾,ウーティス,WALPURGISNACHT-II,3,3,4,1,0.5,2,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
11008,ワザリング・ハイツ チーフバトラー,ウーティス,SEASON 4,3,4,4,1,2,0.5,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
11009,薬指点描派 スチューデント,ウーティス,恒常,2,4,4,1,0.5,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0
11010,W社 3級 整理要員チーフ,ウーティス,恒常,3,4,4,0.5,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
11011,ラ・マンチャランド 理髪師,ウーティス,SEASON 5,3,5,4,0.5,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
11012,黒獣 - 卯,ウーティス,SEASON 5 [EVENT],3,5,4,0.5,1,2,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
11013,T社3級 強制徴収職 職員,ウーティス,SEASON 6 [EVENT],3,6,4,1,2,0.5,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
11014,LCA ウアジェト先鋒三隊隊長,ウーティス,SEASON 7,3,7,4,0.5,1,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
11015,蜘蛛の巣 中指の親方,ウーティス,SEASON 7,3,7,4,1,2,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
12001,LCB 囚人,グレゴール,恒常,1,0,4,1,0.5,2,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
12002,南部リウ協会 6課,グレゴール,恒常,2,0,4,1,2,0.5,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
12003,G社 課長代理,グレゴール,SEASON 1,3,0,4,1,0.5,2,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
12004,りょ・ミ・パ 助手,グレゴール,SEASON 1 [EVENT],2,1,4,0.5,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
12005,バラのスパナ工房 フィクサー,グレゴール,SEASON 2,2,2,4,0.5,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
12006,南部ツヴァイ協会 4課,グレゴール,恒常,3,2,4,2,1,0.5,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
12007,双鉤海賊団 副船長,グレゴール,SEASON 3,3,3,4,0.5,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
12008,黒雲会 副組長,グレゴール,SEASON 3 [EVENT],2,3,4,1,0.5,2,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
12009,エドガー家 継承者,グレゴール,SEASON 4,3,4,4,1,2,0.5,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
12010,ラ・マンチャランド 神父,グレゴール,SEASON 5,3,5,4,1,2,0.5,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
12011,炎拳事務所 生存者,グレゴール,SEASON 5,3,5,4,0.5,2,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
12012,黒獣 - 巳,グレゴール,SEASON 6,3,6,4,0.5,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
12013,夜の錐 カピターノ,グレゴール,WALPURGISNACHT-VII,3,6,4,1,0.5,2,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
12014,ロボトミーE.G.O:: ランプ,グレゴール,SEASON 7,3,7,4,1,0.5,2,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
12015,LCE E.G.O:: AEDD,グレゴール,SEASON 7 [EVENT],3,7,4,0.5,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
12016,夜明事務所 代表,グレゴール,WALPURGISNACHT IX,3,7,4,0.5,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
